 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.07.02. 17:45;94,888;W;E (1);
2018.07.02. 18:00;97,682;W;E (1);
2018.07.02. 18:15;85,509;W;E (1);
2018.07.02. 18:30;79,722;W;E (1);
2018.07.02. 18:45;62,860;W;E (1);
2018.07.02. 19:00;52,283;W;E (1);
2018.07.02. 19:15;35,620;W;E (1);
2018.07.02. 19:30;19,456;W;E (1);
2018.07.02. 19:45;8,980;W;E (1);
2018.07.02. 20:00;6,286;W;E (1);
2018.07.02. 20:15;4,290;W;E (1);
2018.07.02. 20:30;0,898;W;E (1);
2018.07.02. 20:45;0,100;W;E (1);
2018.07.02. 21:00;0,000;W;E (1);
2018.07.02. 21:15;0,000;W;E (1);
2018.07.02. 21:30;0,000;W;E (1);
2018.07.02. 21:45;0,000;W;E (1);
2018.07.02. 22:00;0,000;W;E (1);
2018.07.02. 22:15;0,000;W;E (1);
2018.07.02. 22:30;0,000;W;E (1);
2018.07.02. 22:45;0,000;W;E (1);
2018.07.02. 23:00;0,000;W;E (1);
2018.07.02. 23:15;0,000;W;E (1);
2018.07.02. 23:30;0,000;W;E (1);
2018.07.02. 23:45;0,000;W;E (1);
2018.07.03. 0:00;0,000;W;E (1);
2018.07.03. 0:15;0,000;W;E (1);
2018.07.03. 0:30;0,000;W;E (1);
2018.07.03. 0:45;0,000;W;E (1);
2018.07.03. 1:00;0,000;W;E (1);
2018.07.03. 1:15;0,000;W;E (1);
2018.07.03. 1:30;0,000;W;E (1);
2018.07.03. 1:45;0,000;W;E (1);
2018.07.03. 2:00;0,000;W;E (1);
2018.07.03. 2:15;0,000;W;E (1);
2018.07.03. 2:30;0,000;W;E (1);
2018.07.03. 2:45;0,000;W;E (1);
2018.07.03. 3:00;0,000;W;E (1);
2018.07.03. 3:15;0,000;W;E (1);
2018.07.03. 3:30;0,000;W;E (1);
2018.07.03. 3:45;0,000;W;E (1);
2018.07.03. 4:00;0,000;W;E (1);
2018.07.03. 4:15;0,000;W;E (1);
2018.07.03. 4:30;0,000;W;E (1);
2018.07.03. 4:45;0,000;W;E (1);
2018.07.03. 5:00;0,000;W;E (1);
2018.07.03. 5:15;0,100;W;E (1);
2018.07.03. 5:30;1,696;W;E (1);
2018.07.03. 5:45;6,086;W;E (1);
2018.07.03. 6:00;8,780;W;E (1);
2018.07.03. 6:15;8,182;W;E (1);
2018.07.03. 6:30;11,674;W;E (1);
2018.07.03. 6:45;17,461;W;E (1);
2018.07.03. 7:00;24,146;W;E (1);
2018.07.03. 7:15;50,088;W;E (1);
2018.07.03. 7:30;61,862;W;E (1);
2018.07.03. 7:45;64,456;W;E (1);
2018.07.03. 8:00;102,172;W;E (1);
2018.07.03. 8:15;91,895;W;E (1);
