"datetime";"termeles_kW";"cloudCover";"temperature";"humidity";"eromu";"icon";"precipProbability";"precipIntensity";"dewPoint";"apparentTemperature";"Rad";"ForecastOrNot";"GHI";"TOA"
2018-12-16 23:45:00;0;0,965;-4,84;0,8675;"szigetvar_gamma";"cloudy";0;0;-6,7425;-8,4325;0;0;0;0
2018-12-17 00:00:00;0;0,97;-4,81;0,87;"szigetvar_gamma";"cloudy";0;0;-6,68;-8,4;0;0;0;0
2018-12-17 00:15:00;0;0,975;-4,76;0,87;"szigetvar_gamma";"cloudy";0;0;-6,6225;-8,4525;0;0;0;0
2018-12-17 00:30:00;0;0,98;-4,71;0,87;"szigetvar_gamma";"cloudy";0;0;-6,565;-8,505;0;0;0;0
2018-12-17 00:45:00;0;0,985;-4,66;0,87;"szigetvar_gamma";"cloudy";0;0;-6,5075;-8,5575;0;0;0;0
2018-12-17 01:00:00;0;0,99;-4,61;0,87;"szigetvar_gamma";"cloudy";0;0;-6,45;-8,61;0;0;0;0
2018-12-17 01:15:00;0;0,9925;-4,5625;0,87;"szigetvar_gamma";"cloudy";0;0;-6,4125;-8,61;0;0;0;0
2018-12-17 01:30:00;0;0,995;-4,515;0,87;"szigetvar_gamma";"cloudy";0;0;-6,375;-8,61;0;0;0;0
2018-12-17 01:45:00;0;0,9975;-4,4675;0,87;"szigetvar_gamma";"cloudy";0;0;-6,3375;-8,61;0;0;0;0
2018-12-17 02:00:00;0;1;-4,42;0,87;"szigetvar_gamma";"cloudy";0;0;-6,3;-8,61;0;0;0;0
2018-12-17 02:15:00;0;1;-4,4025;0,8675;"szigetvar_gamma";"cloudy";0;0;-6,3;-8,565;0;0;0;0
2018-12-17 02:30:00;0;1;-4,385;0,865;"szigetvar_gamma";"cloudy";0;0;-6,3;-8,52;0;0;0;0
2018-12-17 02:45:00;0;1;-4,3675;0,8625;"szigetvar_gamma";"cloudy";0;0;-6,3;-8,475;0;0;0;0
2018-12-17 03:00:00;0;1;-4,35;0,86;"szigetvar_gamma";"cloudy";0;0;-6,3;-8,43;0;0;0;0
2018-12-17 03:15:00;0;1;-4,36;0,86;"szigetvar_gamma";"cloudy";0;0;-6,3175;-8,3775;0;0;0;0
2018-12-17 03:30:00;0;1;-4,37;0,86;"szigetvar_gamma";"cloudy";0;0;-6,335;-8,325;0;0;0;0
2018-12-17 03:45:00;0;1;-4,38;0,86;"szigetvar_gamma";"cloudy";0;0;-6,3525;-8,2725;0;0;0;0
2018-12-17 04:00:00;0;1;-4,39;0,86;"szigetvar_gamma";"cloudy";0;0;-6,37;-8,22;0;0;0;0
2018-12-17 04:15:00;0;1;-4,4825;0,855;"szigetvar_gamma";"fog";0;0;-6,525;-8,1975;0;0;0;0
2018-12-17 04:30:00;0;1;-4,575;0,85;"szigetvar_gamma";"fog";0;0;-6,68;-8,175;0;0;0;0
2018-12-17 04:45:00;0;1;-4,6675;0,845;"szigetvar_gamma";"fog";0;0;-6,835;-8,1525;0;0;0;0
2018-12-17 05:00:00;0;1;-4,76;0,84;"szigetvar_gamma";"fog";0;0;-6,99;-8,13;0;0;0;0
